Quartile,Percentage,Quarter,Period
1st Q,0.25946517,Last,1m
2nd Q,0.19986633,Last,1m
3rd Q,0.194670715,Last,1m
4th Q,0.31841723,Last,1m
1st Q,0.238767485,Prev,1m
2nd Q,0.11842073,Prev,1m
3rd Q,0.352913438,Prev,1m
4th Q,0.261679769,Prev,1m
1st Q,0.239292711,Last,3m
2nd Q,0.277382792,Last,3m
3rd Q,0.205294384,Last,3m
4th Q,0.250449558,Last,3m
1st Q,0.306469455,Prev,3m
2nd Q,0.307976249,Prev,3m
3rd Q,0.163110334,Prev,3m
4th Q,0.194225383,Prev,3m
1st Q,0.197449902,Last,YtD
2nd Q,0.222099714,Last,YtD
3rd Q,0.351563191,Last,YtD
4th Q,0.201306637,Last,YtD
1st Q,0.238767485,Prev,YtD
2nd Q,0.11842073,Prev,YtD
3rd Q,0.352913438,Prev,YtD
4th Q,0.261679769,Prev,YtD
1st Q,0.433039296,Last,1y
2nd Q,0.189955353,Last,1y
3rd Q,0.109520434,Last,1y
4th Q,0.239877866,Last,1y
1st Q,0.438640291,Prev,1y
2nd Q,0.206199219,Prev,1y
3rd Q,0.191600596,Prev,1y
4th Q,0.135318046,Prev,1y
1st Q,0.464049802,Last,2y
2nd Q,0.183260597,Last,2y
3rd Q,0.150023737,Last,2y
4th Q,0.168107203,Last,2y
1st Q,0.480762615,Prev,2y
2nd Q,0.196644982,Prev,2y
3rd Q,0.164146408,Prev,2y
4th Q,0.120793129,Prev,2y
1st Q,0.568385714,Last,3y
2nd Q,0.176309231,Last,3y
3rd Q,0.133033445,Last,3y
4th Q,0.080222987,Last,3y
1st Q,0.580539815,Prev,3y
2nd Q,0.252983389,Prev,3y
3rd Q,0.009148562,Prev,3y
4th Q,0.115207276,Prev,3y
1st Q,0.671196818,Last,5y
2nd Q,0.116421193,Last,5y
3rd Q,0.085698541,Last,5y
4th Q,0.078830022,Last,5y
1st Q,0.665572907,Prev,5y
2nd Q,0.143175312,Prev,5y
3rd Q,0.062928874,Prev,5y
4th Q,0.080335796,Prev,5y
